#  r   z    drift_time (t90)
  30  13  447.6
  30  14  464.3
  30  15  479.7
  30  16  497.1
  30  17  515.4
  30  18  534.0
  30  19  552.9
  30  20  572.0
  30  21  591.4
  30  22  611.2
  30  23  631.3
  30  24  651.5
  30  25  671.7
  30  26  691.9
  30  27  712.0
  30  28  732.2
  30  29  752.4
  30  30  772.3
  30  31  792.0
  30  32  811.4
  30  33  830.3
  30  34  849.1
  30  35  867.7
  30  36  886.2
  30  37  904.7
  30  38  922.7
  30  39  939.9
  30  40  957.4
  30  41  975.2
  30  42  992.7
  30  43 1009.5
  30  44 1027.4
  30  45 1045.8
  30  46 1064.6
  30  47 1084.0
  30  48 1104.2
  30  49 1125.4
  30  50 1147.4
  31   0  348.7
  31   1  349.2
  31   2  352.3
  31   3  355.8
  31   4  360.6
  31   5  367.6
  31   6  376.4
  31   7  385.9
  31   8  396.1
  31   9  407.2
  31  10  419.2
  31  11  433.8
  31  12  447.0
  31  13  462.8
  31  14  477.6
  31  15  494.9
  31  16  512.2
  31  17  529.1
  31  18  547.7
  31  19  566.7
  31  20  586.2
  31  21  606.0
  31  22  625.9
  31  23  646.0
  31  24  666.2
  31  25  686.5
  31  26  706.7
  31  27  726.9
  31  28  747.1
  31  29  767.4
  31  30  787.5
  31  31  807.4
  31  32  827.1
  31  33  846.5
  31  34  865.8
  31  35  884.8
  31  36  903.5
  31  37  921.8
  31  38  939.3
  31  39  957.3
  31  40  975.4
  31  41  993.4
  31  42 1010.6
  31  43 1027.9
  31  44 1046.5
  31  45 1065.3
  31  46 1084.5
  31  47 1104.1
  31  48 1124.7
  31  49 1146.8
  31  50 1171.1
  32   0  363.7
  32   1  364.3
  32   2  366.0
  32   3  368.9
  32   4  375.4
  32   5  382.4
  32   6  389.6
  32   7  399.0
  32   8  409.4
  32   9  421.7
  32  10  434.5
  32  11  447.0
  32  12  461.6
  32  13  476.4
  32  14  492.8
  32  15  508.3
  32  16  526.1
  32  17  544.5
  32  18  563.0
  32  19  581.8
  32  20  600.9
  32  21  620.5
  32  22  640.6
  32  23  661.0
  32  24  681.5
  32  25  702.0
  32  26  722.5
  32  27  742.8
  32  28  763.3
  32  29  783.7
  32  30  803.9
  32  31  823.9
  32  32  843.8
  32  33  863.4
  32  34  882.7
  32  35  901.6
  32  36  919.8
  32  37  938.3
  32  38  956.8
  32  39  975.2
  32  40  993.5
  32  41 1011.5
  32  42 1028.9
  32  43 1046.9
  32  44 1065.9
  32  45 1085.4
  32  46 1105.2
  32  47 1125.4
  32  48 1146.8
  32  49 1171.0
  32  50 1197.4
  33   0  377.2
  33   1  377.3
  33   2  379.1
  33   3  384.1
  33   4  388.2
  33   5  396.0
  33   6  404.7
  33   7  414.3
  33   8  424.6
  33   9  435.7
  33  10  447.5
  33  11  461.3
  33  12  475.7
  33  13  490.0
  33  14  506.4
  33  15  523.7
  33  16  539.9
  33  17  557.9
  33  18  576.7
  33  19  596.0
  33  20  615.6
  33  21  635.4
  33  22  655.5
  33  23  675.8
  33  24  696.1
  33  25  716.6
  33  26  737.0
  33  27  757.4
  33  28  778.0
  33  29  798.5
  33  30  819.0
  33  31  839.2
  33  32  859.2
  33  33  879.0
  33  34  898.4
  33  35  917.7
  33  36  936.8
  33  37  955.7
  33  38  974.6
  33  39  993.2
  33  40 1011.4
  33  41 1029.3
  33  42 1047.7
  33  43 1066.2
  33  44 1085.7
  33  45 1105.9
  33  46 1126.6
  33  47 1147.9
  33  48 1172.0
  33  49 1197.4
  33  50 1228.5
  34   0  389.8
  34   1  391.5
  34   2  394.1
  34   3  397.0
  34   4  403.2
  34   5  409.0
  34   6  417.5
  34   7  427.1
  34   8  437.4
  34   9  448.7
  34  10  462.1
  34  11  475.5
  34  12  488.9
  34  13  505.0
  34  14  520.0
  34  15  537.0
  34  16  555.0
  34  17  573.2
  34  18  591.5
  34  19  610.0
  34  20  629.5
  34  21  649.5
  34  22  669.7
  34  23  690.4
  34  24  711.2
  34  25  732.1
  34  26  752.8
  34  27  773.4
  34  28  794.1
  34  29  814.6
  34  30  835.1
  34  31  855.5
  34  32  875.6
  34  33  895.5
  34  34  915.3
  34  35  934.8
  34  36  954.2
  34  37  973.3
  34  38  992.1
  34  39 1010.6
  34  40 1029.1
  34  41 1047.8
  34  42 1066.7
  34  43 1085.8
  34  44 1105.7
  34  45 1126.8
  34  46 1148.8
  34  47 1172.6
  34  48 1198.0
  34  49 1228.5
  34  50 1271.7
