#  r   z    drift_time (t90)
   6  47  784.0
   6  48  799.0
   6  49  814.4
   6  50  828.8
   7   0  149.5
   7   1  147.9
   7   2  149.1
   7   3  151.0
   7   4  152.6
   7   5  153.2
   7   6  152.2
   7   7  149.5
   7   8  145.2
   7   9  139.1
   7  10  131.5
   7  11  129.5
   7  12  139.7
   7  13  156.4
   7  14  168.9
   7  15  186.2
   7  16  201.7
   7  17  218.5
   7  18  236.9
   7  19  255.6
   7  20  274.5
   7  21  293.7
   7  22  313.4
   7  23  333.4
   7  24  353.6
   7  25  374.0
   7  26  394.4
   7  27  414.9
   7  28  435.3
   7  29  455.8
   7  30  476.4
   7  31  496.9
   7  32  517.2
   7  33  537.4
   7  34  557.3
   7  35  577.0
   7  36  596.5
   7  37  615.7
   7  38  634.7
   7  39  653.3
   7  40  671.5
   7  41  689.0
   7  42  706.6
   7  43  724.2
   7  44  741.1
   7  45  757.3
   7  46  773.9
   7  47  789.3
   7  48  804.9
   7  49  819.8
   7  50  834.8
   8   0  167.9
   8   1  139.1
   8   2  139.8
   8   3  140.6
   8   4  141.1
   8   5  140.9
   8   6  139.6
   8   7  137.0
   8   8  132.9
   8   9  127.3
   8  10  125.5
   8  11  137.0
   8  12  148.2
   8  13  161.3
   8  14  177.2
   8  15  193.2
   8  16  208.6
   8  17  226.6
   8  18  244.9
   8  19  263.1
   8  20  281.4
   8  21  300.1
   8  22  319.8
   8  23  339.8
   8  24  360.2
   8  25  380.9
   8  26  401.6
   8  27  422.2
   8  28  442.7
   8  29  463.2
   8  30  483.7
   8  31  504.1
   8  32  524.4
   8  33  544.4
   8  34  564.3
   8  35  583.9
   8  36  603.3
   8  37  622.4
   8  38  641.0
   8  39  659.2
   8  40  677.3
   8  41  695.5
   8  42  713.3
   8  43  730.2
   8  44  747.0
   8  45  764.0
   8  46  779.9
   8  47  795.8
   8  48  811.6
   8  49  826.3
   8  50  841.5
   9   0  131.1
   9   1  130.0
   9   2  130.2
   9   3  130.3
   9   4  130.1
   9   5  129.2
   9   6  127.5
   9   7  124.7
   9   8  120.5
   9   9  119.7
   9  10  129.3
   9  11  142.3
   9  12  156.8
   9  13  169.0
   9  14  185.9
   9  15  199.8
   9  16  217.4
   9  17  235.3
   9  18  253.1
   9  19  270.5
   9  20  289.1
   9  21  308.4
   9  22  328.1
   9  23  348.1
   9  24  368.2
   9  25  388.6
   9  26  409.1
   9  27  429.7
   9  28  450.2
   9  29  470.8
   9  30  491.4
   9  31  511.8
   9  32  532.0
   9  33  552.0
   9  34  571.7
   9  35  591.1
   9  36  610.1
   9  37  629.0
   9  38  647.7
   9  39  666.3
   9  40  684.7
   9  41  702.7
   9  42  719.8
   9  43  737.1
   9  44  754.4
   9  45  771.0
   9  46  786.9
   9  47  803.3
   9  48  818.3
   9  49  834.0
   9  50  848.4
  10   0  148.6
  10   1  120.3
  10   2  120.1
  10   3  119.8
  10   4  119.0
  10   5  117.7
  10   6  115.5
  10   7  112.3
  10   8  118.7
  10   9  128.3
  10  10  138.5
  10  11  149.7
  10  12  165.7
  10  13  178.4
  10  14  195.0
  10  15  209.2
  10  16  226.8
  10  17  244.6
  10  18  262.0
  10  19  279.5
  10  20  298.4
  10  21  317.7
  10  22  337.3
  10  23  357.2
  10  24  377.3
  10  25  397.6
  10  26  418.0
  10  27  438.4
  10  28  458.8
  10  29  479.1
  10  30  499.5
  10  31  519.7
  10  32  539.8
  10  33  559.7
  10  34  579.3
  10  35  598.7
  10  36  617.9
  10  37  636.8
  10  38  655.7
  10  39  674.3
  10  40  692.5
  10  41  709.9
  10  42  727.4
  10  43  745.0
  10  44  762.2
  10  45  778.3
  10  46  795.0
  10  47  811.0
  10  48  826.4
  10  49  842.0
  10  50  856.5
  11   0  143.7
  11   1  109.9
  11   2  109.6
  11   3  108.9
  11   4  107.7
  11   5  105.9
  11   6  109.1
  11   7  117.5
  11   8  127.1
  11   9  137.4
  11  10  148.0
  11  11  159.5
  11  12  175.3
  11  13  188.3
  11  14  204.8
  11  15  219.2
  11  16  236.7
  11  17  254.5
  11  18  272.0
  11  19  289.5
  11  20  308.3
  11  21  327.6
  11  22  347.1
  11  23  367.0
  11  24  387.0
  11  25  407.2
  11  26  427.6
  11  27  447.9
  11  28  468.2
  11  29  488.4
  11  30  508.6
  11  31  528.8
  11  32  548.7
  11  33  568.5
  11  34  588.0
  11  35  607.3
  11  36  626.5
  11  37  645.5
  11  38  664.3
  11  39  682.8
  11  40  700.5
  11  41  718.1
  11  42  735.9
  11  43  753.5
  11  44  770.2
  11  45  786.8
  11  46  803.6
  11  47  819.2
  11  48  835.2
  11  49  850.4
  11  50  865.5
  12   0  115.7
  12   1   98.9
  12   2   98.4
